Target of assay	Files
H3K79me2	/files/ENCFF000BYC/,/files/ENCFF000BYD/,/files/ENCFF000BYE/,/files/ENCFF000BYH/,/files/ENCFF000BYO/,/files/ENCFF000BYS/,/files/ENCFF001SZK/,/files/ENCFF780EYD/,/files/ENCFF171KRI/,/files/ENCFF275KVT/,/files/ENCFF294MOL/,/files/ENCFF870UJC/,/files/ENCFF234TFF/,/files/ENCFF408YHI/,/files/ENCFF947DVY/,/files/ENCFF671MKW/,/files/ENCFF392BQI/,/files/ENCFF229JFI/,/files/ENCFF350GQM/,/files/ENCFF354QXX/,/files/ENCFF061ODQ/,/files/ENCFF832FOY/,/files/ENCFF025ZVV/,/files/ENCFF266JXG/,/files/ENCFF570IWS/,/files/ENCFF799KEY/,/files/ENCFF368BPM/,/files/ENCFF785JEQ/,/files/ENCFF791POB/,/files/ENCFF785CUK/,/files/ENCFF839BCY/,/files/ENCFF677DJM/,/files/ENCFF619JRY/,/files/ENCFF477LXF/,/files/ENCFF453XIK/,/files/ENCFF309NFJ/,/files/ENCFF769WZF/,/files/ENCFF520XBR/,/files/ENCFF003CLZ/,/files/ENCFF270XZN/,/files/ENCFF901YVS/,/files/ENCFF212PQN/,/files/ENCFF543IXZ/,/files/ENCFF142RTY/,/files/ENCFF889ZGH/,/files/ENCFF903YMB/,/files/ENCFF918ICB/,/files/ENCFF863HNL/,/files/ENCFF118SCD/,/files/ENCFF024SDW/,/files/ENCFF055FAG/,/files/ENCFF465UWC/,/files/ENCFF639KMY/,/files/ENCFF952GNK/,/files/ENCFF544IUS/,/files/ENCFF080CBF/,/files/ENCFF213LKE/,/files/ENCFF957YJT/,/files/ENCFF827OVS/,/files/ENCFF533FKX/,/files/ENCFF119WKA/,/files/ENCFF945LQZ/,/files/ENCFF636OGE/,/files/ENCFF435OMX/,/files/ENCFF296QNV/,/files/ENCFF946WKP/,/files/ENCFF677CFG/,/files/ENCFF112LWK/,/files/ENCFF544AVW/,/files/ENCFF424SZB/,/files/ENCFF334HSS/,/files/ENCFF779NIF/,/files/ENCFF282NSY/,/files/ENCFF767ECL/,/files/ENCFF478XGK/,/files/ENCFF832FHS/,/files/ENCFF711PLM/,/files/ENCFF915IZR/,/files/ENCFF497CYM/,/files/ENCFF341ZPT/,/files/ENCFF159ZZM/,/files/ENCFF649PBO/,/files/ENCFF132YSI/,/files/ENCFF457RYD/,/files/ENCFF714UHO/,/files/ENCFF209OQD/,/files/ENCFF213IEJ/,/files/ENCFF543XSN/,/files/ENCFF366PJU/,/files/ENCFF958LEO/,/files/ENCFF766GTJ/,/files/ENCFF999DKZ/,/files/ENCFF497SIZ/,/files/ENCFF433OIK/
H3K9ac	/files/ENCFF000BYK/,/files/ENCFF000BYL/,/files/ENCFF000BYM/,/files/ENCFF000BYN/,/files/ENCFF000BYW/,/files/ENCFF001QWV/,/files/ENCFF001SZL/,/files/ENCFF355NBA/,/files/ENCFF842DDC/,/files/ENCFF465MJL/,/files/ENCFF424DZH/,/files/ENCFF501UKW/,/files/ENCFF392IMN/,/files/ENCFF103YPC/,/files/ENCFF698ROL/,/files/ENCFF816IQF/,/files/ENCFF418BIN/,/files/ENCFF398KUI/,/files/ENCFF982ZCH/,/files/ENCFF364PJK/,/files/ENCFF081HQA/,/files/ENCFF731INI/,/files/ENCFF171GKK/,/files/ENCFF837WJR/,/files/ENCFF478WBY/,/files/ENCFF993IFX/,/files/ENCFF520EWD/,/files/ENCFF600RGQ/,/files/ENCFF167LFA/,/files/ENCFF498EUL/,/files/ENCFF074ODO/,/files/ENCFF957FQF/,/files/ENCFF390RCI/,/files/ENCFF085CLZ/,/files/ENCFF950FSO/,/files/ENCFF257CLC/,/files/ENCFF880LYR/,/files/ENCFF115LJM/,/files/ENCFF602QRW/,/files/ENCFF173ULG/,/files/ENCFF306MNO/,/files/ENCFF842GQO/,/files/ENCFF696WWX/,/files/ENCFF337IUF/,/files/ENCFF766FBZ/,/files/ENCFF313BVL/,/files/ENCFF505NMT/,/files/ENCFF286WRJ/,/files/ENCFF149MXA/,/files/ENCFF916KSL/,/files/ENCFF236VCK/,/files/ENCFF789NDS/,/files/ENCFF485EUA/,/files/ENCFF501SJH/,/files/ENCFF239EBH/,/files/ENCFF094AYG/,/files/ENCFF124FWY/,/files/ENCFF891CHI/,/files/ENCFF666PTK/,/files/ENCFF788ZRE/,/files/ENCFF816SXT/,/files/ENCFF012NJT/,/files/ENCFF650QTM/,/files/ENCFF809XFO/
H3K9me1	/files/ENCFF000BYP/,/files/ENCFF000BYQ/,/files/ENCFF000BYR/,/files/ENCFF000BYY/,/files/ENCFF001SZM/,/files/ENCFF108OHX/,/files/ENCFF078GBI/,/files/ENCFF108HZT/,/files/ENCFF442DIM/,/files/ENCFF239YAP/,/files/ENCFF576XWK/,/files/ENCFF999CZA/,/files/ENCFF631LJL/,/files/ENCFF374ISV/,/files/ENCFF916MUA/,/files/ENCFF092WJN/,/files/ENCFF829NRL/,/files/ENCFF823LIL/,/files/ENCFF652WML/,/files/ENCFF526UWC/,/files/ENCFF322CRR/,/files/ENCFF271KWX/,/files/ENCFF285EKW/,/files/ENCFF149LYJ/,/files/ENCFF654SLZ/,/files/ENCFF462AVD/,/files/ENCFF541USQ/,/files/ENCFF302OEO/,/files/ENCFF220RGS/,/files/ENCFF580ITL/
H2AFZ	/files/ENCFF000BWN/,/files/ENCFF000BWO/,/files/ENCFF000BWP/,/files/ENCFF000BWT/,/files/ENCFF000BWU/,/files/ENCFF000BWV/,/files/ENCFF001SZD/,/files/ENCFF689IQT/,/files/ENCFF385HED/,/files/ENCFF541ONR/,/files/ENCFF609MDA/,/files/ENCFF472XNE/,/files/ENCFF407AUC/,/files/ENCFF840EXN/,/files/ENCFF289NOY/,/files/ENCFF267JLP/,/files/ENCFF451NLT/,/files/ENCFF518XQA/,/files/ENCFF234UEG/,/files/ENCFF681OSA/,/files/ENCFF920RMV/,/files/ENCFF049TIZ/,/files/ENCFF422GBO/,/files/ENCFF809JDN/,/files/ENCFF600FGL/,/files/ENCFF022VMA/,/files/ENCFF298NSK/,/files/ENCFF284QYN/,/files/ENCFF880USO/,/files/ENCFF427ZFG/,/files/ENCFF169KVV/,/files/ENCFF430FSQ/,/files/ENCFF551PZO/,/files/ENCFF903BRE/,/files/ENCFF825TEU/,/files/ENCFF191EXE/,/files/ENCFF818AKR/,/files/ENCFF010VYR/,/files/ENCFF624XRN/,/files/ENCFF345TPR/,/files/ENCFF494WCA/,/files/ENCFF921IKK/,/files/ENCFF120JMY/,/files/ENCFF794HQK/,/files/ENCFF330QAI/,/files/ENCFF394ALM/,/files/ENCFF503KEW/,/files/ENCFF906FOH/,/files/ENCFF621DJP/,/files/ENCFF874SMO/,/files/ENCFF591KZT/,/files/ENCFF007YZT/,/files/ENCFF242WQK/,/files/ENCFF964BCA/,/files/ENCFF202EVH/,/files/ENCFF608LBE/,/files/ENCFF191NHH/,/files/ENCFF115ZBH/,/files/ENCFF767OWY/,/files/ENCFF132GCY/,/files/ENCFF129WUS/,/files/ENCFF213OTI/,/files/ENCFF022EPB/,/files/ENCFF415KCI/
H3K4me3	/files/ENCFF000BXW/,/files/ENCFF000BXY/,/files/ENCFF000BXZ/,/files/ENCFF000BYB/,/files/ENCFF000BYI/,/files/ENCFF000BYJ/,/files/ENCFF001SZJ/,/files/ENCFF025ROT/,/files/ENCFF948KTD/,/files/ENCFF545JLB/,/files/ENCFF078MJA/,/files/ENCFF767UON/,/files/ENCFF633WWH/,/files/ENCFF197VMR/,/files/ENCFF100UHB/,/files/ENCFF777LZD/,/files/ENCFF176KPU/,/files/ENCFF517YFY/,/files/ENCFF998LYO/,/files/ENCFF150YLO/,/files/ENCFF656WGG/,/files/ENCFF307STR/,/files/ENCFF814IYI/,/files/ENCFF763FWB/,/files/ENCFF845BFY/,/files/ENCFF739OHY/,/files/ENCFF699EUP/,/files/ENCFF111VJD/,/files/ENCFF013BAH/,/files/ENCFF823KRP/,/files/ENCFF804NBY/,/files/ENCFF681JQI/,/files/ENCFF406QTB/,/files/ENCFF267EUD/,/files/ENCFF314GKM/,/files/ENCFF507QPR/,/files/ENCFF714EVA/,/files/ENCFF183BRJ/,/files/ENCFF173OCO/,/files/ENCFF224ZCK/,/files/ENCFF330TJF/,/files/ENCFF803FOA/,/files/ENCFF715DGL/,/files/ENCFF029DFM/,/files/ENCFF127XXD/,/files/ENCFF729NQN/,/files/ENCFF860DEC/,/files/ENCFF429ZEV/,/files/ENCFF500EUY/,/files/ENCFF251TOG/,/files/ENCFF909PMV/,/files/ENCFF955CVS/,/files/ENCFF564SVK/,/files/ENCFF685PPQ/,/files/ENCFF617VRS/,/files/ENCFF660WUG/,/files/ENCFF810SEX/,/files/ENCFF877ESL/,/files/ENCFF689QIJ/,/files/ENCFF937XKN/,/files/ENCFF618MLV/,/files/ENCFF546DRM/,/files/ENCFF217BRB/,/files/ENCFF186AKA/
H3K4me1	/files/ENCFF000BXK/,/files/ENCFF000BXL/,/files/ENCFF000BXM/,/files/ENCFF000BXQ/,/files/ENCFF000BXX/,/files/ENCFF000BYG/,/files/ENCFF001SZH/,/files/ENCFF130RCQ/,/files/ENCFF778EZR/,/files/ENCFF352XJQ/,/files/ENCFF580LGK/,/files/ENCFF162TOV/,/files/ENCFF320TCC/,/files/ENCFF693YKK/,/files/ENCFF441FTY/,/files/ENCFF798WDB/,/files/ENCFF213ZYR/,/files/ENCFF367JRB/,/files/ENCFF721YQO/,/files/ENCFF900IMQ/,/files/ENCFF624RNZ/,/files/ENCFF438HNG/,/files/ENCFF178IHU/,/files/ENCFF526QTS/,/files/ENCFF586SUS/,/files/ENCFF254UHS/,/files/ENCFF778BWU/,/files/ENCFF177ZBH/,/files/ENCFF700ZWZ/,/files/ENCFF463AQS/,/files/ENCFF183UQD/,/files/ENCFF320NKZ/,/files/ENCFF737LFR/,/files/ENCFF356TDM/,/files/ENCFF783RNG/,/files/ENCFF590NGQ/,/files/ENCFF759NWD/,/files/ENCFF880IZQ/,/files/ENCFF274EWV/,/files/ENCFF612GXO/,/files/ENCFF352HXD/,/files/ENCFF415GHS/,/files/ENCFF490RQD/,/files/ENCFF199JUN/,/files/ENCFF149FZG/,/files/ENCFF100FDI/,/files/ENCFF834SEY/,/files/ENCFF755KWM/,/files/ENCFF755YPI/,/files/ENCFF042BWR/,/files/ENCFF646KOA/,/files/ENCFF837PQW/,/files/ENCFF399XNM/,/files/ENCFF173LGO/,/files/ENCFF524BOJ/,/files/ENCFF665JSC/,/files/ENCFF204MWI/,/files/ENCFF839DZV/,/files/ENCFF103WYN/,/files/ENCFF625ZHC/,/files/ENCFF425VCG/,/files/ENCFF180KFV/,/files/ENCFF236LMK/,/files/ENCFF573AQP/,/files/ENCFF553IZN/,/files/ENCFF135ZLM/,/files/ENCFF863XJW/,/files/ENCFF366ILH/,/files/ENCFF562GFY/,/files/ENCFF617BGN/,/files/ENCFF457URZ/,/files/ENCFF607SUJ/,/files/ENCFF324RWP/,/files/ENCFF722LYP/,/files/ENCFF486QGD/,/files/ENCFF692DJW/,/files/ENCFF026IVB/,/files/ENCFF996AMF/,/files/ENCFF382PUM/,/files/ENCFF534KXV/,/files/ENCFF842SGN/,/files/ENCFF539JEM/
H3K9me3	/files/ENCFF000BYT/,/files/ENCFF000BYU/,/files/ENCFF000BYV/,/files/ENCFF000BYX/,/files/ENCFF001QWW/,/files/ENCFF001QWX/,/files/ENCFF001SZN/,/files/ENCFF516VWS/,/files/ENCFF159LBN/,/files/ENCFF805FLY/,/files/ENCFF038JTR/,/files/ENCFF928ZQM/,/files/ENCFF744MLH/,/files/ENCFF146NLP/,/files/ENCFF559DHZ/,/files/ENCFF323KXF/,/files/ENCFF538EDC/,/files/ENCFF954LYH/,/files/ENCFF218LMZ/,/files/ENCFF582WOP/,/files/ENCFF073BIR/,/files/ENCFF569YNN/,/files/ENCFF388GQN/,/files/ENCFF957YZB/,/files/ENCFF757QJP/,/files/ENCFF303MPF/,/files/ENCFF775TRW/,/files/ENCFF786YXG/,/files/ENCFF648EMW/,/files/ENCFF235LAL/,/files/ENCFF746EFG/,/files/ENCFF330EOT/,/files/ENCFF559MMQ/,/files/ENCFF700FQH/,/files/ENCFF742JJQ/,/files/ENCFF495CWA/,/files/ENCFF243KAD/,/files/ENCFF834YLI/,/files/ENCFF812HRW/,/files/ENCFF894VEM/,/files/ENCFF837EVY/,/files/ENCFF361WTS/,/files/ENCFF371GMJ/,/files/ENCFF554NLX/,/files/ENCFF615YYG/,/files/ENCFF074UUW/,/files/ENCFF089CHU/,/files/ENCFF155UQU/,/files/ENCFF103IHG/,/files/ENCFF632NQA/,/files/ENCFF438MVS/,/files/ENCFF104THG/,/files/ENCFF600IBI/,/files/ENCFF567HEH/,/files/ENCFF271VVX/,/files/ENCFF963GZJ/,/files/ENCFF486RAY/,/files/ENCFF459JZD/,/files/ENCFF052JDB/,/files/ENCFF007IEU/,/files/ENCFF564MXI/,/files/ENCFF601JGK/,/files/ENCFF606XTW/,/files/ENCFF459SYZ/
H3K4me3	/files/ENCFF800SGR/,/files/ENCFF894KBP/,/files/ENCFF781LSW/,/files/ENCFF010SAE/,/files/ENCFF095XET/,/files/ENCFF242HJI/,/files/ENCFF236SNL/,/files/ENCFF051QSU/,/files/ENCFF189RDG/,/files/ENCFF661UGK/,/files/ENCFF978AZB/,/files/ENCFF572OAS/,/files/ENCFF144WEV/,/files/ENCFF407UPO/,/files/ENCFF084PQN/,/files/ENCFF005YDI/,/files/ENCFF816LTQ/,/files/ENCFF282LNM/,/files/ENCFF752ALB/,/files/ENCFF546CVL/,/files/ENCFF586TDO/,/files/ENCFF929TPH/,/files/ENCFF568IWB/,/files/ENCFF539EAR/,/files/ENCFF285EUA/,/files/ENCFF689TMV/,/files/ENCFF737AMS/,/files/ENCFF527CMN/,/files/ENCFF459QNJ/,/files/ENCFF603LEA/,/files/ENCFF804OLI/,/files/ENCFF465RJJ/,/files/ENCFF843VDV/,/files/ENCFF324OEH/,/files/ENCFF282KCR/,/files/ENCFF381XPC/,/files/ENCFF525ZRM/,/files/ENCFF999RPS/,/files/ENCFF586GKU/,/files/ENCFF036HPL/,/files/ENCFF616DLO/,/files/ENCFF352VRB/,/files/ENCFF692UOC/,/files/ENCFF405ZDL/,/files/ENCFF668LJP/,/files/ENCFF253TOF/,/files/ENCFF218ZFJ/,/files/ENCFF934IIU/,/files/ENCFF958SYH/,/files/ENCFF855ZMQ/,/files/ENCFF752MYF/,/files/ENCFF333FOR/,/files/ENCFF089RDX/,/files/ENCFF880RHG/,/files/ENCFF941IYM/,/files/ENCFF885FQN/,/files/ENCFF403DTU/,/files/ENCFF828ZPS/,/files/ENCFF136RIH/,/files/ENCFF264KTL/
H4K20me1	/files/ENCFF000BYZ/,/files/ENCFF000BZA/,/files/ENCFF000BZB/,/files/ENCFF000BZJ/,/files/ENCFF000BZN/,/files/ENCFF001QWY/,/files/ENCFF001SZO/,/files/ENCFF893XWE/,/files/ENCFF450IFI/,/files/ENCFF469FNC/,/files/ENCFF869ZXY/,/files/ENCFF148RID/,/files/ENCFF726BNA/,/files/ENCFF744AZG/,/files/ENCFF080MET/,/files/ENCFF417SUG/,/files/ENCFF189YWV/,/files/ENCFF323BRX/,/files/ENCFF363YMD/,/files/ENCFF146CLS/,/files/ENCFF770BSW/,/files/ENCFF480EZF/,/files/ENCFF545CYI/,/files/ENCFF359JVI/,/files/ENCFF242XLB/,/files/ENCFF474KOM/,/files/ENCFF143CUR/,/files/ENCFF139CKE/,/files/ENCFF298QOP/,/files/ENCFF216VEH/,/files/ENCFF394RNI/,/files/ENCFF462SHJ/,/files/ENCFF605FAF/,/files/ENCFF208QXC/,/files/ENCFF909RKY/,/files/ENCFF580EIA/,/files/ENCFF255QRL/,/files/ENCFF910OVQ/,/files/ENCFF990ELV/,/files/ENCFF294IRC/,/files/ENCFF196SRP/,/files/ENCFF091XLR/,/files/ENCFF098ZGR/,/files/ENCFF694ODT/,/files/ENCFF102FOZ/,/files/ENCFF923YUN/,/files/ENCFF006AYV/,/files/ENCFF762LHT/,/files/ENCFF296HFX/,/files/ENCFF832DAL/
H3K36me3	/files/ENCFF000BXE/,/files/ENCFF000BXF/,/files/ENCFF000BXI/,/files/ENCFF000BXJ/,/files/ENCFF000BXO/,/files/ENCFF000BXR/,/files/ENCFF001SZG/,/files/ENCFF467JCK/,/files/ENCFF662WYL/,/files/ENCFF303VNU/,/files/ENCFF190AQC/,/files/ENCFF431HAA/,/files/ENCFF683TNV/,/files/ENCFF639PLN/,/files/ENCFF673KBG/,/files/ENCFF048CFD/,/files/ENCFF316HBY/,/files/ENCFF537EUG/,/files/ENCFF119BYM/,/files/ENCFF028HJF/,/files/ENCFF784HLI/,/files/ENCFF517GHL/,/files/ENCFF891QWC/,/files/ENCFF745DOB/,/files/ENCFF475DCT/,/files/ENCFF946QUG/,/files/ENCFF905TVJ/,/files/ENCFF219GSW/,/files/ENCFF496IZU/,/files/ENCFF244ZDM/,/files/ENCFF034GRQ/,/files/ENCFF504HFV/,/files/ENCFF464YSK/,/files/ENCFF084VLQ/,/files/ENCFF223BKS/,/files/ENCFF743PWK/,/files/ENCFF013QMA/,/files/ENCFF954JHK/,/files/ENCFF678IWR/,/files/ENCFF053DAC/,/files/ENCFF753VAK/,/files/ENCFF498CMP/,/files/ENCFF052GVP/,/files/ENCFF061YUW/,/files/ENCFF432UVA/,/files/ENCFF008TSB/,/files/ENCFF776RKN/,/files/ENCFF782UNG/,/files/ENCFF860PQP/,/files/ENCFF035WTT/,/files/ENCFF268VHK/,/files/ENCFF880HKV/,/files/ENCFF272JVI/,/files/ENCFF163NTH/,/files/ENCFF775DZE/,/files/ENCFF296TSL/,/files/ENCFF903ZMQ/,/files/ENCFF520LHY/,/files/ENCFF094MHH/,/files/ENCFF777LUD/,/files/ENCFF558NIS/,/files/ENCFF269SWP/,/files/ENCFF973LQI/,/files/ENCFF324IHL/,/files/ENCFF544IFT/,/files/ENCFF627AZR/,/files/ENCFF237PVB/,/files/ENCFF195ATD/,/files/ENCFF975VUL/,/files/ENCFF594GRL/,/files/ENCFF713VAQ/,/files/ENCFF090LXT/,/files/ENCFF605TZL/,/files/ENCFF193ERO/,/files/ENCFF801CHE/,/files/ENCFF605EVL/,/files/ENCFF577BGM/,/files/ENCFF082TYF/,/files/ENCFF925FDY/,/files/ENCFF212LYR/,/files/ENCFF295IXZ/,/files/ENCFF130KEH/,/files/ENCFF986FDG/,/files/ENCFF629VTS/,/files/ENCFF990EZP/,/files/ENCFF829XLF/,/files/ENCFF260UGR/,/files/ENCFF317VHO/,/files/ENCFF775XUT/,/files/ENCFF878KKP/,/files/ENCFF754AKB/,/files/ENCFF365RHS/,/files/ENCFF070YKQ/,/files/ENCFF503NVM/,/files/ENCFF230KXQ/,/files/ENCFF797EJZ/
